ID,StationID,Station Name,County,Network,longitude,latitude
1,A1,Taipei Main,Taipei,Taoyuan Metro,121.5142195,25.04859855
2,A2,Sanchong,New Taipei City,Taoyuan Metro,121.4828957,25.05460219
3,A3,New Taipei Industrial Park,New Taipei City,Taoyuan Metro,121.4588021,25.06177938
4,A4,Xinzhuang Fuduxin,New Taipei City,Taoyuan Metro,121.4461125,25.05957321
5,A5,Taishan,New Taipei City,Taoyuan Metro,121.4393996,25.0533566
6,A6,Taishan Guihe,New Taipei City,Taoyuan Metro,121.422493,25.03326252
7,A7,National Taiwan Sports University,Taoyuan,Taoyuan Metro,121.3854963,25.04124806
8,A8,Chang Gung Memorial Hospital,Taoyuan,Taoyuan Metro,121.370827,25.06058853
9,A9,Linkou,New Taipei City,Taoyuan Metro,121.3614057,25.065887
10,A10,Shanbi,Taoyuan,Taoyuan Metro,121.284831,25.0808828
11,A11,Kengkou,Taoyuan,Taoyuan Metro,121.2664166,25.08645337
12,A12,Airport Terminal 1,Taoyuan,Taoyuan Metro,121.2385273,25.08232154
13,A13,Airport Terminal 2,Taoyuan,Taoyuan Metro,121.2319653,25.07745622
14,A14,Airport Hotel,Taoyuan,Taoyuan Metro,121.2208908,25.06929902
15,A15,Dayuan,Taoyuan,Taoyuan Metro,121.2104879,25.05596653
16,A16,Hengshan,Taoyuan,Taoyuan Metro,121.2156551,25.03657612
17,A17,Linghang,Taoyuan,Taoyuan Metro,121.2210115,25.02407736
18,A18,Taoyuan HSR,Taoyuan,Taoyuan Metro,121.214131,25.01378284
19,A19,Taoyuan Sports Park,Taoyuan,Taoyuan Metro,121.2034256,25.00205052
20,A20,Xingnan,Taoyuan,Taoyuan Metro,121.216207,24.98015801
21,A21,Huanbei,Taoyuan,Taoyuan Metro,121.221046,24.96715655
22,V01,Ganzhenlin,New Taipei City,Tamsui Light Rail,121.4562677,25.16243133
23,V02,Danjin Denggong,New Taipei City,Tamsui Light Rail,121.4608238,25.16926294
24,V03,Tamkeng University,New Taipei City,Tamsui Light Rail,121.4561396,25.17688339
25,V04,Danjin Beixin,New Taipei City,Tamsui Light Rail,121.4522514,25.18113702
26,V05,Xinshi First Road,New Taipei City,Tamsui Light Rail,121.4482395,25.18377487
27,V06,Tamsui District Office,New Taipei City,Tamsui Light Rail,121.4445367,25.1889609
28,V07,Binhai Yinshan,New Taipei City,Tamsui Light Rail,121.4374151,25.18970422
29,V08,Binhai Shalun,New Taipei City,Tamsui Light Rail,121.4315475,25.19046118
30,V09,Danhai New Town,New Taipei City,Tamsui Light Rail,121.4324836,25.19569425
